Год,Пол,Соотношение(%),,,,,,,,,,,,,,,,,,,
2000,1,"8,8",,,,,,,,,,,,,,,,,,,
2000,0,"91,2",,,,,,,,,,,,,,,,,,,
2001,1,"8,2",,,,,,,,,,,,,,,,,,,
2001,0,"91,8",,,,,,,,,,,,,,,,,,,
2002,1,"8,2",,,,,,,,,,,,,,,,,,,
2002,0,"91,8",,,,,,,,,,,,,,,,,,,
2003,1,"9,4",,,,,,,,,,,,,,,,,,,
2003,0,"90,6",,,,,,,,,,,,,,,,,,,
2004,1,"9,1",,,,,,,,,,,,,,,,,,,
2004,0,"90,9",,,,,,,,,,,,,,,,,,,
2005,1,9,,,,,,,,,,,,,,,,,,,
2005,0,91,,,,,,,,,,,,,,,,,,,
2006,1,9,,,,,,,,,,,,,,,,,,,
2006,0,91,,,,,,,,,,,,,,,,,,,
2007,1,7,,,,,,,,,,,,,,,,,,,
2007,0,93,,,,,,,,,,,,,,,,,,,
2008,1,"8,2",,,,,,,,,,,,,,,,,,,
2008,0,"91,8",,,,,,,,,,,,,,,,,,,
2009,1,"10,8",,,,,,,,,,,,,,,,,,,
2009,0,"89,2",,,,,,,,,,,,,,,,,,,
2010,1,"9,7",,,,,,,,,,,,,,,,,,,
2010,0,"90,3",,,,,,,,,,,,,,,,,,,
2011,1,"11,0",,,,,,,,,,,,,,,,,,,
2011,0,"89,0",,,,,,,,,,,,,,,,,,,
2012,1,"16,7",,,,,,,,,,,,,,,,,,,
2012,0,"83,3",,,,,,,,,,,,,,,,,,,
2013,1,"15,6",,,,,,,,,,,,,,,,,,,
2013,0,"84,4",,,,,,,,,,,,,,,,,,,
2014,1,"14,1",,,,,,,,,,,,,,,,,,,
2014,0,"85,9",,,,,,,,,,,,,,,,,,,
2015,1,"14,4",,,,,,,,,,,,,,,,,,,
2015,0,"85,6",,,,,,,,,,,,,,,,,,,
2016,1,19,,,,,,,,,,,,,,,,,,,
2016,0,81,,,,,,,,,,,,,,,,,,,
2017,1,15,,,,,,,,,,,,,,,,,,,
2017,0,85,,,,,,,,,,,,,,,,,,,
2018,1,"20,5",,,,,,,,,,,,,,,,,,,
2018,0,"79,5",,,,,,,,,,,,,,,,,,,
2019,1,24,,,,,,,,,,,,,,,,,,,
2019,0,76,,,,,,,,,,,,,,,,,,,



